Unnamed: 0,ID,Goal,Target,Indicator,ReleaseStatus,ReleaseName,SeriesID,SeriesCode,SeriesDescription,SeriesObservationCount,GeoAreaCode,GeoAreaName,TimePeriod,Value,ValueType,Time_Detail,Source,FootNote,ObservationID,Age,Freq,Location,Nature,Sex,Units,Bounds,Level/Status,Name of international agreement,Education level,Type of product,Type of facilities,Name of international institution,Type of occupation,Tariff regime (status),Type of skill,Mode of transportation,Type of mobile technology,Name of non-communicable disease,Type of speed,Migratory status,Disability status,Hazard type,IHR Capacity,Cities,Reporting Type,Quantile
1033636,370404,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,414,Kuwait,2012,0.18862,Float,2012,Country submission for Ocean Science data and UIS for R/D,,3876879,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033637,370405,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,414,Kuwait,2013,0.06139,Float,2013,Country submission for Ocean Science data and UIS for R/D,,3876905,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033638,370406,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,504,Morocco,2010,0.37163,Float,2010,Country submission for Ocean Science data and UIS for R/D,,3876921,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033639,370407,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,578,Norway,2009,2.69262,Float,2009,Country submission for Ocean Science data and UIS for R/D,,3876958,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033640,370408,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,578,Norway,2011,3.28223,Float,2011,Country submission for Ocean Science data and UIS for R/D,,3876923,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033641,370409,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,578,Norway,2013,3.57744,Float,2013,Country submission for Ocean Science data and UIS for R/D,,3876902,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033642,370415,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,642,Romania,2009,0.46525,Float,2009,Country submission for Ocean Science data and UIS for R/D,,3876895,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033643,370416,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,642,Romania,2010,0.34974,Float,2010,Country submission for Ocean Science data and UIS for R/D,,3876932,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033644,370417,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,642,Romania,2011,0.51346,Float,2011,Country submission for Ocean Science data and UIS for R/D,,3876913,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033645,370418,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,642,Romania,2012,0.54116,Float,2012,Country submission for Ocean Science data and UIS for R/D,,3876937,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
