https://www.fao.org/fishery/statistics-query/en/gfcm_capture/gfcm_capture_quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name En,ASFIS species Name En,Unit Name,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag,1999,1999 Flag,1998,1998 Flag,1997,1997 Flag,1996,1996 Flag,1995,1995 Flag,1994,1994 Flag,1993,1993 Flag,1992,1992 Flag,1991,1991 Flag,1990,1990 Flag
Albania,European eel,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,3,,4,E,4,,5,,3,,3,,3,,2,,0,N,2,,98,,0,,0,,0,,0,,40,,33,,0,M,0,M,0,M,0,M,0,M
Albania,European flounder,Tonnes - live weight,15,,10,,11,,10,,13,,12,,12,,15,,16,,8,,34,,17,,17,,15,,27,,20,,37,,0,M,3,,15,,45,,41,,42,,9,,3,,0,N,0,M,0,M,0,M,0,M,0,M
Albania,European hake,Tonnes - live weight,751,,731,,872,,940,,948,,914,,902,,851,,899,,286,,280,,336,,275,,275,,280,,267,,473,,384,,200,,380,,330,,341,,340,,185,,293,,227,,300,E,400,E,454,,238,,562,
Albania,European lobster,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,6,,3,,1,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,European pilchard(=Sardine),Tonnes - live weight,384,,676,,460,,1065,,890,,1200,,1106,,1474,,1690,,125,,104,,120,,110,,95,,115,,104,,32,,70,,90,,123,,45,,40,,28,,28,,196,,235,,100,E,50,E,34,,492,,3818,
Albania,European seabass,Tonnes - live weight,75,,60,,45,,43,,45,,41,,44,,39,,42,,95,,170,,73,,116,,116,,58,,43,,13,,2,,64,,70,,50,,30,,30,,14,,32,,14,,0,M,0,M,0,M,0,M,0,M
Albania,European sprat,Tonnes - live weight,23,,20,,17,,22,,20,,19,,27,,28,,22,,2,,0,M,5,,8,,3,,2,,1,,2,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,Flatfishes nei,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,,0,,0,,0,,0,,4,,2,,2,,29,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Albania,Garfish,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,,0,,0,,0,,0,,4,,0,M,5,,5,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,Giant red shrimp,Tonnes - live weight,65,,48,,0,M,198,,202,,170,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,Gilthead seabream,Tonnes - live weight,41,,59,,57,,65,,68,,62,,43,,56,,54,,70,,225,,67,,110,,51,,110,,25,,8,,8,,181,,90,,23,,20,,20,,11,,27,,17,,0,M,0,M,0,M,0,M,0,M
Albania,Gobies nei,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,10,,6,,0,M,0,M,0,M,0,M,0,M
Albania,Greater amberjack,Tonnes - live weight,9,,5,,3,,6,,7,,8,,4,,8,,7,,2,,2,,10,,5,,2,,8,,5,,7,,1,,19,,2,,0,,0,,0,,1,,2,,0,N,0,M,0,M,0,M,0,M,0,M
Albania,Greater weever,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,,0,,0,,0,,0,,118,,51,,48,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,Grey triggerfish,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,,0,,0,,0,,0,,1,,1,,1,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,Groupers nei,Tonnes - live weight,5,,1,,6,,7,,8,,8,,4,,6,,7,,18,,0,M,21,,23,,16,,7,,1,,5,,2,,3,,0,,0,,0,,0,,1,,2,,0,N,0,M,0,M,0,M,0,M,0,M
