,year,StockCode,AdviceValue,AdviceType,AdviceApplicableFrom,AdviceApplicableUntil,AdviceValueUnit,AssessmentYear,AssessmentKey,AdviceKey,AdviceDOI,Reference,TAC ID,Species_x,TAC Zone,Level,TAC for comparison,Year,Amendment/Original,FishStock,FishStockTAC,area,speciesAcronym,_merge,Area,Species_y,Belgium,China,Denmark,Estonia,Faroe Islands,Finland,France,Germany,Greenland,Guernsey,Iceland,Ireland,Isle of Man,Japan,Jersey,"Korea, Republic of",Latvia,Lithuania,Netherlands,Norway,Poland,Portugal,Russian Federation,Spain,Sweden,"Taiwan, Province of China",United Kingdom of GB,tacCatches,_mergeSADTAC
12,2020.0,had.27.7b-k,16671,Catches,2020.0,2020.0,t,2019.0,12976.0,1026.0,https://doi.org/10.17895/ices.advice.4785,(HAD/7X7A34) - 2020 - TAC - Original,(HAD/7X7A34),Haddock,"7b-k, 8,9 and 10; Union waters of CECAF 34.1.1",TAC,11418,2020.0,Original,had.27.7b-k,had.27.7b-k,27.7.j.1,had,both,27.7.j.1,had,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,both,both
13,2020.0,had.27.7b-k,16671,Catches,2020.0,2020.0,t,2019.0,12976.0,1026.0,https://doi.org/10.17895/ices.advice.4785,(HAD/7X7A34) - 2020 - TAC - Original,(HAD/7X7A34),Haddock,"7b-k, 8,9 and 10; Union waters of CECAF 34.1.1",TAC,11418,2020.0,Original,had.27.7b-k,had.27.7b-k,27.7.j.2,had,both,27.7.j.2,had,0.2,,,,,,229.092,0.0,,,,419.2388,,,,,,,5.659,,,,,68.87,,,0.0,both,both
14,2020.0,had.27.7b-k,16671,Catches,2020.0,2020.0,t,2019.0,12976.0,1026.0,https://doi.org/10.17895/ices.advice.4785,(HAD/7X7A34) - 2020 - TAC - Original,(HAD/7X7A34),Haddock,"7b-k, 8,9 and 10; Union waters of CECAF 34.1.1",TAC,11418,2020.0,Original,had.27.7b-k,had.27.7b-k,27.7.k.1,had,both,27.7.k.1,had,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,both,both
15,2020.0,had.27.7b-k,16671,Catches,2020.0,2020.0,t,2019.0,12976.0,1026.0,https://doi.org/10.17895/ices.advice.4785,(HAD/7X7A34) - 2020 - TAC - Original,(HAD/7X7A34),Haddock,"7b-k, 8,9 and 10; Union waters of CECAF 34.1.1",TAC,11418,2020.0,Original,had.27.7b-k,had.27.7b-k,27.7.k.2,had,both,27.7.k.2,had,,,,,,,1.587,,,,,1.8558,,,,,,,,,,,,0.43,,,0.0,both,both
16,2020.0,whg.27.47d,22082,Catches,2020.0,2020.0,t,2019.0,11587.0,1123.0,https://doi.org/10.17895/ices.advice.4878,(WHG/2AC4.) - 2020 - TAC - Original,(WHG/2AC4.),Whiting,4; Union waters of 2a,TAC,17158,2020.0,Original,whg.27.47d,whg.27.47d,27.4.a,whg,both,27.4.a,whg,0.0,,1883.0,,24.031,,34.233,78.7387,,,,0.0,,,,,,17.022,63.113,932.49,0.0,,,0.0,8.2245,,11659.44,both,both
17,2020.0,whg.27.47d,22082,Catches,2020.0,2020.0,t,2019.0,11587.0,1123.0,https://doi.org/10.17895/ices.advice.4878,(WHG/2AC4.) - 2020 - TAC - Original,(WHG/2AC4.),Whiting,4; Union waters of 2a,TAC,17158,2020.0,Original,whg.27.47d,whg.27.47d,27.4.b,whg,both,27.4.b,whg,59.6,,1635.0,,0.7,,69.066,178.637,,,,0.0,,,,,,3.084,122.021,741.24,0.0,,,0.0,19.7297,,390.0426,both,both
18,2020.0,whg.27.47d,22082,Catches,2020.0,2020.0,t,2019.0,11587.0,1123.0,https://doi.org/10.17895/ices.advice.4878,(WHG/2AC4.) - 2020 - TAC - Original,(WHG/2AC4.),Whiting,4; Union waters of 2a,TAC,17158,2020.0,Original,whg.27.47d,whg.27.47d,27.4.c,whg,both,27.4.c,whg,151.8,,2.0,,,,574.039,19.3954,,,,0.0,,,,,,,613.55,0.0,,,,,0.442,,141.9736,both,both
19,2020.0,whg.27.47d,22082,Catches,2020.0,2020.0,t,2019.0,11587.0,1123.0,https://doi.org/10.17895/ices.advice.4878,(WHG/2AC4.) - 2020 - TAC - Original,(WHG/2AC4.),Whiting,4; Union waters of 2a,TAC,17158,2020.0,Original,whg.27.47d,whg.27.47d,27.7.d,whg,both,27.7.d,whg,45.2,,0.0,,,,1308.648,0.5497,,,,0.0,,,,,,,330.21,,,,,,,,302.0783,both,both
20,2020.0,her.27.irls,0,Catches,2020.0,2020.0,t,2019.0,10329.0,1133.0,https://doi.org/10.17895/ices.advice.4718,(HER/7GK.) - 2020 - TAC - Original,(HER/7GK.),Herring,"7g, 7h, 7j and 7k",TAC,869,2020.0,Original,her.27.irls,her.27.irls,27.7.a,her,both,27.7.a,her,,,,,0.0,,0.0,,,,,1988.1464,0.015,,,,,,0.0,0.0,,,,,,,5969.5758,both,both
21,2020.0,her.27.irls,0,Catches,2020.0,2020.0,t,2019.0,10329.0,1133.0,https://doi.org/10.17895/ices.advice.4718,(HER/7GK.) - 2020 - TAC - Original,(HER/7GK.),Herring,"7g, 7h, 7j and 7k",TAC,869,2020.0,Original,her.27.irls,her.27.irls,27.7.g,her,both,27.7.g,her,,,0.0,,,,0.011,0.0,,,,3.037,,,,,,,0.075,,,,,,,,0.0,both,both
22,2020.0,her.27.irls,0,Catches,2020.0,2020.0,t,2019.0,10329.0,1133.0,https://doi.org/10.17895/ices.advice.4718,(HER/7GK.) - 2020 - TAC - Original,(HER/7GK.),Herring,"7g, 7h, 7j and 7k",TAC,869,2020.0,Original,her.27.irls,her.27.irls,27.7.h,her,both,27.7.h,her,,,,,,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,,,,,0.0,both,both
23,2020.0,her.27.irls,0,Catches,2020.0,2020.0,t,2019.0,10329.0,1133.0,https://doi.org/10.17895/ices.advice.4718,(HER/7GK.) - 2020 - TAC - Original,(HER/7GK.),Herring,"7g, 7h, 7j and 7k",TAC,869,2020.0,Original,her.27.irls,her.27.irls,27.7.j.1,her,both,27.7.j.1,her,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,both,both
24,2020.0,her.27.irls,0,Catches,2020.0,2020.0,t,2019.0,10329.0,1133.0,https://doi.org/10.17895/ices.advice.4718,(HER/7GK.) - 2020 - TAC - Original,(HER/7GK.),Herring,"7g, 7h, 7j and 7k",TAC,869,2020.0,Original,her.27.irls,her.27.irls,27.7.j.2,her,both,27.7.j.2,her,,,,,,,0.0,,,,,0.0,,,,,,,0.079,,,,,,,,0.0,both,both
25,2020.0,her.27.irls,0,Catches,2020.0,2020.0,t,2019.0,10329.0,1133.0,https://doi.org/10.17895/ices.advice.4718,(HER/7GK.) - 2020 - TAC - Original,(HER/7GK.),Herring,"7g, 7h, 7j and 7k",TAC,869,2020.0,Original,her.27.irls,her.27.irls,27.7.k.1,her,both,27.7.k.1,her,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,both,both
26,2020.0,her.27.irls,0,Catches,2020.0,2020.0,t,2019.0,10329.0,1133.0,https://doi.org/10.17895/ices.advice.4718,(HER/7GK.) - 2020 - TAC - Original,(HER/7GK.),Herring,"7g, 7h, 7j and 7k",TAC,869,2020.0,Original,her.27.irls,her.27.irls,27.7.k.2,her,both,27.7.k.2,her,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,both,both
27,2020.0,cod.21.1,5537,Catches,2020.0,2020.0,t,2019.0,12925.0,1145.0,https://doi.org/10.17895/ices.advice.4732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
28,2020.0,her.27.20-24,0,Catches,2020.0,2020.0,t,2019.0,12592.0,1147.0,https://doi.org/10.17895/ices.advice.4715,(HER/3BC+24) - 2020 - TAC - Original,(HER/3BC+24),Herring,Subdivisions 22-24,TAC,3150,2020.0,Original,her.27.20-24,her.27.20-24,27.3.b.23,her,both,27.3.b.23,her,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,480.343,,,both,both
29,2020.0,her.27.20-24,0,Catches,2020.0,2020.0,t,2019.0,12592.0,1147.0,https://doi.org/10.17895/ices.advice.4715,(HER/3BC+24) - 2020 - TAC - Original,(HER/3BC+24),Herring,Subdivisions 22-24,TAC,3150,2020.0,Original,her.27.20-24,her.27.20-24,27.3.c.22,her,both,27.3.c.22,her,,,3.0,,,,,14.2239,,,,,,,,,,,,,,,,,0.0,,,both,both
