"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","IFINP","I.A. Transfers based on input use","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,1224246.21,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,2722540.94,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,1957000,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,2650000,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","NAT","National currency","2018","2018","AUD","Australian Dollar","0","Units",,,8000,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","NAT","National currency","2019","2019","AUD","Australian Dollar","0","Units",,,0,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","NAT","National currency","2020","2020","AUD","Australian Dollar","0","Units",,,0,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,1224246.21,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,2722540.94,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,1150000,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,1150000,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","NAT","National currency","2018","2018","AUD","Australian Dollar","0","Units",,,4000,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","NAT","National currency","2019","2019","AUD","Australian Dollar","0","Units",,,0,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","NAT","National currency","2020","2020","AUD","Australian Dollar","0","Units",,,0,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,2566000,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,8264000,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,5388872,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,19953076,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,8300000,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,34960000,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,2247000,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,16172000,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","NAT","National currency","2018","2018","AUD","Australian Dollar","0","Units",,,13326605,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","NAT","National currency","2019","2019","AUD","Australian Dollar","0","Units",,,0,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","NAT","National currency","2020","2020","AUD","Australian Dollar","0","Units",,,0,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,867398,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,1158096,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,1326847,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,1700693,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,3907404,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,2931373,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,3109807,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,2781073,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","NAT","National currency","2018","2018","AUD","Australian Dollar","0","Units",,,1640544,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","NAT","National currency","2019","2019","AUD","Australian Dollar","0","Units",,,0,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","NAT","National currency","2020","2020","AUD","Australian Dollar","0","Units",,,0,,
"AUS","Australia","GSEDU","II.E. Education and training","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,1000000,,
"AUS","Australia","GSEDU","II.E. Education and training","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,424500,,
"AUS","Australia","GSEDU","II.E. Education and training","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,820000,,
"AUS","Australia","GSEDU","II.E. Education and training","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,900000,,
"AUS","Australia","GSEDU","II.E. Education and training","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,9630000,,
"AUS","Australia","GSEDU","II.E. Education and training","NAT","National currency","2018","2018","AUD","Australian Dollar","0","Units",,,1785677,,
"AUS","Australia","GSEDU","II.E. Education and training","NAT","National currency","2019","2019","AUD","Australian Dollar","0","Units",,,0,,
"AUS","Australia","GSEDU","II.E. Education and training","NAT","National currency","2020","2020","AUD","Australian Dollar","0","Units",,,0,,
"AUS","Australia","GSRND","II.F. Research and development","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,43506313,,
"AUS","Australia","GSRND","II.F. Research and development","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,48286375,,
"AUS","Australia","GSRND","II.F. Research and development","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,47336768,,
"AUS","Australia","GSRND","II.F. Research and development","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,52882986,,
"AUS","Australia","GSRND","II.F. Research and development","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,61184861,,
"AUS","Australia","GSRND","II.F. Research and development","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,61887065,,
"AUS","Australia","GSRND","II.F. Research and development","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,64700989,,
"AUS","Australia","GSRND","II.F. Research and development","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,67696515,,
"AUS","Australia","GSRND","II.F. Research and development","NAT","National currency","2018","2018","AUD","Australian Dollar","0","Units",,,58552159,,
"AUS","Australia","GSRND","II.F. Research and development","NAT","National currency","2019","2019","AUD","Australian Dollar","0","Units",,,39086000,,
"AUS","Australia","GSRND","II.F. Research and development","NAT","National currency","2020","2020","AUD","Australian Dollar","0","Units",,,36788000,,
"AUS","Australia","GSMNG","II.G. Management of resources","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,67391145,,
"AUS","Australia","GSMNG","II.G. Management of resources","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,65366546,,
"AUS","Australia","GSMNG","II.G. Management of resources","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,87129628,,
"AUS","Australia","GSMNG","II.G. Management of resources","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,103052584,,
"AUS","Australia","GSMNG","II.G. Management of resources","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,100972027,,
"AUS","Australia","GSMNG","II.G. Management of resources","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,100102708,,
"AUS","Australia","GSMNG","II.G. Management of resources","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,99394878,,
"AUS","Australia","GSMNG","II.G. Management of resources","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,117788328,,
"AUS","Australia","GSMNG","II.G. Management of resources","NAT","National currency","2018","2018","AUD","Australian Dollar","0","Units",,,93554410,,
"AUS","Australia","GSMNG","II.G. Management of resources","NAT","National currency","2019","2019","AUD","Australian Dollar","0","Units",,,14300000,,
"AUS","Australia","GSMNG","II.G. Management of resources","NAT","National currency","2020","2020","AUD","Australian Dollar","0","Units",,,14520000,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,44941145,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,43386546,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,62629628,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,65362584,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,69172027,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,69102708,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,69253198,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,75188455,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","NAT","National currency","2018","2018","AUD","Australian Dollar","0","Units",,,61601410,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","NAT","National currency","2019","2019","AUD","Australian Dollar","0","Units",,,14300000,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","NAT","National currency","2020","2020","AUD","Australian Dollar","0","Units",,,14520000,,
"AUS","Australia","GSMNG_STK","II.G.2. Stock enhancement programs","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,551663,,
"AUS","Australia","GSMNG_STK","II.G.2. Stock enhancement programs","NAT","National currency","2018","2018","AUD","Australian Dollar","0","Units",,,2200000,,
"AUS","Australia","GSMNG_STK","II.G.2. Stock enhancement programs","NAT","National currency","2019","2019","AUD","Australian Dollar","0","Units",,,0,,
"AUS","Australia","GSMNG_STK","II.G.2. Stock enhancement programs","NAT","National currency","2020","2020","AUD","Australian Dollar","0","Units",,,0,,
"AUS","Australia","GSMNG_ENF","II.G.3. Enforcement expenditures","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,22450000,,
"AUS","Australia","GSMNG_ENF","II.G.3. Enforcement expenditures","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,21980000,,
"AUS","Australia","GSMNG_ENF","II.G.3. Enforcement expenditures","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,24500000,,
"AUS","Australia","GSMNG_ENF","II.G.3. Enforcement expenditures","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,37690000,,
"AUS","Australia","GSMNG_ENF","II.G.3. Enforcement expenditures","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,31800000,,
"AUS","Australia","GSMNG_ENF","II.G.3. Enforcement expenditures","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,31000000,,
"AUS","Australia","GSMNG_ENF","II.G.3. Enforcement expenditures","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,30141680,,
"AUS","Australia","GSMNG_ENF","II.G.3. Enforcement expenditures","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,42048210,,
"AUS","Australia","GSMNG_ENF","II.G.3. Enforcement expenditures","NAT","National currency","2018","2018","AUD","Australian Dollar","0","Units",,,29753000,,
"AUS","Australia","GSMNG_ENF","II.G.3. Enforcement expenditures","NAT","National currency","2019","2019","AUD","Australian Dollar","0","Units",,,0,,
"AUS","Australia","GSMNG_ENF","II.G.3. Enforcement expenditures","NAT","National currency","2020","2020","AUD","Australian Dollar","0","Units",,,0,,
"AUS","Australia","GSMSC","II.H. Miscellaneous support for services to the sector","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,517136,,
"AUS","Australia","GSMSC","II.H. Miscellaneous support for services to the sector","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,268111,,
"AUS","Australia","GSMSC","II.H. Miscellaneous support for services to the sector","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,423498,,
"AUS","Australia","GSMSC","II.H. Miscellaneous support for services to the sector","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,405730,,
"AUS","Australia","GSMSC","II.H. Miscellaneous support for services to the sector","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,354745,,
"AUS","Australia","GSMSC","II.H. Miscellaneous support for services to the sector","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,1244648,,
"AUS","Australia","GSMSC","II.H. Miscellaneous support for services to the sector","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,2168765,,
"AUS","Australia","GSMSC","II.H. Miscellaneous support for services to the sector","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,1834252,,
"AUS","Australia","GSMSC","II.H. Miscellaneous support for services to the sector","NAT","National currency","2018","2018","AUD","Australian Dollar","0","Units",,,332491,,
"AUS","Australia","GSMSC","II.H. Miscellaneous support for services to the sector","NAT","National currency","2019","2019","AUD","Australian Dollar","0","Units",,,0,,
"AUS","Australia","GSMSC","II.H. Miscellaneous support for services to the sector","NAT","National currency","2020","2020","AUD","Australian Dollar","0","Units",,,0,,
"AUS","Australia","FCRMG","III.C. Payments made by the fisheries sector, for management, research and enforcement","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,39755880,,
"AUS","Australia","FCRMG","III.C. Payments made by the fisheries sector, for management, research and enforcement","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,44633639,,
"AUS","Australia","FCRMG","III.C. Payments made by the fisheries sector, for management, research and enforcement","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,52324332,,
"AUS","Australia","FCRMG","III.C. Payments made by the fisheries sector, for management, research and enforcement","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,55166104,,
"AUS","Australia","FCRMG","III.C. Payments made by the fisheries sector, for management, research and enforcement","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,58807191,,
"AUS","Australia","FCRMG","III.C. Payments made by the fisheries sector, for management, research and enforcement","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,60976346,,
"AUS","Australia","FCRMG","III.C. Payments made by the fisheries sector, for management, research and enforcement","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,66138000,,
"AUS","Australia","FCRMG","III.C. Payments made by the fisheries sector, for management, research and enforcement","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,68333432,,
"AUS","Australia","FCRMG","III.C. Payments made by the fisheries sector, for management, research and enforcement","NAT","National currency","2018","2018","AUD","Australian Dollar","0","Units",,,54465466,,
"AUS","Australia","FCRMG","III.C. Payments made by the fisheries sector, for management, research and enforcement","NAT","National currency","2019","2019","AUD","Australian Dollar","0","Units",,,14300000,,
"AUS","Australia","FCRMG","III.C. Payments made by the fisheries sector, for management, research and enforcement","NAT","National currency","2020","2020","AUD","Australian Dollar","0","Units",,,14520000,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,1103477.1538706,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,2045669.3008909,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,1454653.7378275,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,2030833.0572411,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","USD","US dollar","2018","2018","USD","US Dollar","0","Units",,,5976.1480008757,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","USD","US dollar","2019","2019","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","USD","US dollar","2020","2020","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,1103477.1538706,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,2045669.3008909,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,854804.18932125,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,881304.91163293,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","USD","US dollar","2018","2018","USD","US Dollar","0","Units",,,2988.0740004379,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","USD","US dollar","2019","2019","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","USD","US dollar","2020","2020","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,2353749.1460391,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,8526723.2472253,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,5578744.2354221,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,19252192.208772,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,7481224.2033616,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,26268328.129951,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,1670213.0551346,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,12393446.11385,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","USD","US dollar","2018","2018","USD","US Dollar","0","Units",,,9955220.4786513,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","USD","US dollar","2019","2019","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","USD","US dollar","2020","2020","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,795649.76686518,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,1194913.3695206,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,1373597.3043222,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,1640953.4311458,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,3521947.6357966,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,2202582.0319016,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,2311544.3926787,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,2131281.1256606,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","USD","US dollar","2018","2018","USD","US Dollar","0","Units",,,1225516.7182436,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","USD","US dollar","2019","2019","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","GSCOM","II.D. Support to fishing communities","USD","US dollar","2020","2020","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","GSEDU","II.E. Education and training","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,964873.39640125,,
"AUS","Australia","GSEDU","II.E. Education and training","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,382624.05714783,,
"AUS","Australia","GSEDU","II.E. Education and training","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,616133.55453546,,
"AUS","Australia","GSEDU","II.E. Education and training","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,668977.19164271,,
"AUS","Australia","GSEDU","II.E. Education and training","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,7379970.6948044,,
"AUS","Australia","GSEDU","II.E. Education and training","USD","US dollar","2018","2018","USD","US Dollar","0","Units",,,1333933.75422,,
"AUS","Australia","GSEDU","II.E. Education and training","USD","US dollar","2019","2019","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","GSEDU","II.E. Education and training","USD","US dollar","2020","2020","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","GSRND","II.F. Research and development","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,39907617.7206,,
"AUS","Australia","GSRND","II.F. Research and development","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,49821461.306478,,
"AUS","Australia","GSRND","II.F. Research and development","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,49004638.002817,,
"AUS","Australia","GSRND","II.F. Research and development","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,51025386.31366,,
"AUS","Australia","GSRND","II.F. Research and development","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,55149116.023195,,
"AUS","Australia","GSRND","II.F. Research and development","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,46500850.41246,,
"AUS","Australia","GSRND","II.F. Research and development","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,48092762.130807,,
"AUS","Australia","GSRND","II.F. Research and development","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,51879366.234724,,
"AUS","Australia","GSRND","II.F. Research and development","USD","US dollar","2018","2018","USD","US Dollar","0","Units",,,43739545.994351,,
"AUS","Australia","GSRND","II.F. Research and development","USD","US dollar","2019","2019","USD","US Dollar","0","Units",,,27168161.279528,,
"AUS","Australia","GSRND","II.F. Research and development","USD","US dollar","2020","2020","USD","US Dollar","0","Units",,,25309388.184022,,
"AUS","Australia","GSMNG","II.G. Management of resources","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,61816777.082755,,
"AUS","Australia","GSMNG","II.G. Management of resources","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,67444633.031101,,
"AUS","Australia","GSMNG","II.G. Management of resources","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,90199564.944106,,
"AUS","Australia","GSMNG","II.G. Management of resources","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,99432696.732005,,
"AUS","Australia","GSMNG","II.G. Management of resources","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,91011370.151191,,
"AUS","Australia","GSMNG","II.G. Management of resources","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,75215411.339836,,
"AUS","Australia","GSMNG","II.G. Management of resources","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,73881007.053456,,
"AUS","Australia","GSMNG","II.G. Management of resources","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,90267332.173418,,
"AUS","Australia","GSMNG","II.G. Management of resources","USD","US dollar","2018","2018","USD","US Dollar","0","Units",,,69886875.036826,,
"AUS","Australia","GSMNG","II.G. Management of resources","USD","US dollar","2019","2019","USD","US Dollar","0","Units",,,9939740.7331845,,
"AUS","Australia","GSMNG","II.G. Management of resources","USD","US dollar","2020","2020","USD","US Dollar","0","Units",,,9989461.6840272,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,41223765.263356,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,44765860.405979,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,64836328.673539,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,63066618.421642,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,62348366.576865,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,51922557.448861,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,51476455.455908,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,57620830.164862,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","USD","US dollar","2018","2018","USD","US Dollar","0","Units",,,46017392.902828,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","USD","US dollar","2019","2019","USD","US Dollar","0","Units",,,9939740.7331845,,
"AUS","Australia","GSMNG_EXP","II.G.1. Management expenditures","USD","US dollar","2020","2020","USD","US Dollar","0","Units",,,9989461.6840272,,
"AUS","Australia","GSMNG_STK","II.G.2. Stock enhancement programs","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,422768.09692709,,
"AUS","Australia","GSMNG_STK","II.G.2. Stock enhancement programs","USD","US dollar","2018","2018","USD","US Dollar","0","Units",,,1643440.7002408,,
"AUS","Australia","GSMNG_STK","II.G.2. Stock enhancement programs","USD","US dollar","2019","2019","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","GSMNG_STK","II.G.2. Stock enhancement programs","USD","US dollar","2020","2020","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","GSMNG_ENF","II.G.3. Enforcement expenditures","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,20593011.819399,,
"AUS","Australia","GSMNG_ENF","II.G.3. Enforcement expenditures","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,22678772.625122,,
"AUS","Australia","GSMNG_ENF","II.G.3. Enforcement expenditures","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,25363236.270567,,
"AUS","Australia","GSMNG_ENF","II.G.3. Enforcement expenditures","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,36366078.310363,,
"AUS","Australia","GSMNG_ENF","II.G.3. Enforcement expenditures","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,28663003.574325,,
"AUS","Australia","GSMNG_ENF","II.G.3. Enforcement expenditures","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,23292853.890975,,
