Country,Indicator,Slope,Intercept,Rvalue,Pvalue,Stderr
Belgium,nitro,0.29600415628370913,-585.6623711355463,0.9398714327479727,0.0601285672520273,0.07605736292218847
Belgium,phospho,0.2666666666666668,-533.2666666666669,0.8944271909999159,0.10557280900008413,0.09428090415820639
Belgium,eutro,0.0,100.0,0.0,1.0,0.0
Belgium,wasteG,-0.1328956750269704,278.7815539592972,-0.14284477483573652,0.818744808380212,0.5316296853164664
Belgium,wasteR,0.8784235136940555,-1673.3066132264544,0.7709660097073592,0.015007435147032577,0.2742677753242202
Belgium,mspVal,4.605263157894738,-9203.947368421055,0.8029550685469664,0.40651972837366035,3.4185213307280455
Belgium,ohiBio,-0.21290909090909094,501.92036363636373,-0.7202424892959343,0.012424614005048469,0.06835651692995504
Belgium,co2,0.4893417690406476,-946.9014623692921,0.7784838573733162,0.00798424379803252,0.13949072663963194
Belgium,phCopernicus,-0.11876754718417798,313.07067411070045,-0.9890261227506675,0.09440024666931636,0.017741499252807963
Belgium,fmsyF,1.2928539754535284,-2517.01706974054,0.9998645372552544,0.010478761577528398,0.021282298739026057
Belgium,bBmsy,-0.04694076196135013,187.50268498211165,-0.1494776299985059,0.9044816036060995,0.31050390319219645
Belgium,kbaMPA,0.02920072727272883,37.88816763636049,0.6841963365419611,0.020228751975102648,0.010375203170192384
Belgium,natura2kEEZ,0.0,100.0,0.0,1.0,0.0
Belgium,fseRiskkRatio,0.29019927290953706,-582.5299934067006,0.6952913994388868,0.08285627106157595,0.13415565875854038
Belgium,tacCatch,1.752358232212564,-3443.508092601992,0.8503461983938128,0.35278506876374227,1.0844199321946633
Belgium,compositeIUU,-17.984461147418727,36410.62705663841,-1.0,0.0,0.0
Belgium,fteCoastalPop,0.09082734765036399,-175.16125880456778,0.353764878552258,0.35030817140789583,0.09076528960851446
Belgium,gvaHoursW,-1.345529026352641,2790.4676483135154,-0.3018688261104213,0.4298424875910438,1.6061197204050037
Belgium,economies,-2.196266208325376,4482.9720924907315,-0.16316387666850182,0.674891517450312,5.019409251813755
Belgium,gvaNights,0.42145816768420863,-803.7733052489407,0.18911001297933375,0.6260455994557672,0.8271474156817199
Belgium,oResearch,-0.024128881491643106,48.88147701763532,-0.9710046856678939,0.00590102771732444,0.0034297540402347575
Belgium,sadTac,-0.16045419497000857,420.90913244851157,-0.9312680957859525,0.2374071264489119,0.0627735691547895
Belgium,ohiArt,-0.22181818181818214,525.6800000000006,-0.7691751180301621,0.005651055734079039,0.0614295568106597
Belgium,threatenedFish,0.6251033961193962,-1177.114729647049,0.609645807387819,0.5826233673600951,0.8127722221239038
Belgium,imoRatedf,1.3661202185792352,-2672.8543876567023,0.8298312484335946,0.3768732551184429,0.9186383260972839
Denmark,nitro,0.3627862319141354,-713.4132626838816,0.6710703660294274,0.32892963397057273,0.28341093808947515
Denmark,phospho,0.03571428571428572,-69.14285714285715,0.25819888974716115,0.7418011102528389,0.09449111825230683
Denmark,eutro,-4.717197522180748,9563.895159001811,-0.35515149804259283,0.2838117744033452,4.138776062001736
Denmark,wasteG,-0.8771929824561404,1809.2865497076025,-0.6030373084189972,0.2816676192813932,0.6699416838184651
Denmark,wasteR,-1.7501670006680046,3623.961255845027,-0.5702764852550399,0.10886138232277019,0.952856783026483
Denmark,mspVal,7.894736842105264,-15871.052631578948,0.917662935482247,0.26014693829300606,3.418521330728049
Denmark,ohiBio,-0.18427272727272687,444.837181818181,-0.9471486944864962,9.726845060059284e-06,0.020804106220383905
Denmark,co2,2.6125758955131384,-5212.2191412794755,0.926024643963494,0.00011974089345068177,0.3765094052713197
Denmark,phCopernicus,-0.19299582870700657,461.897988956261,-0.952369975063452,0.19727614215797362,0.0617964734599497
Denmark,fmsyF,-0.5993501642945211,1298.622372517237,-0.6110490776762831,0.5814955908324759,0.7764371806659173
Denmark,bBmsy,-0.028809638826679425,153.95888159111277,-0.9368285578095644,0.2274933553511085,0.010756814481999706
Denmark,kbaMPA,0.009061545454545437,68.4454673636364,0.8549117567937057,0.0007980150255978951,0.0018328944956880176
Denmark,natura2kEEZ,0.0,60.47361956180192,0.0,1.0,0.0
Denmark,fseRiskkRatio,-0.0034356401638340737,7.668846347048668,-0.1916223075451418,0.6494065376625172,0.0071839359704505305
Denmark,tacCatch,0.17338802139638265,-254.0523003223468,0.81998225866621,0.3879664687049025,0.12103357633412799
Denmark,compositeIUU,7.261585005885593,-14609.894629491995,1.0,0.0,0.0
Denmark,fteCoastalPop,0.07872910681472867,-141.45241004863107,0.19786731783662037,0.6098287629745371,0.14741432947795619
Denmark,economies,3.655262227451261,-7318.30304755178,0.344764375294012,0.36355298653967494,3.7615685749471686
Denmark,gvaNights,-0.028456874039217442,150.3745374926257,-0.010705795578546616,0.9781924153098132,1.0046026870826488
Denmark,sadTac,0.026002946510405942,29.691078860354942,0.03395775037390702,0.9783776677726337,0.7653024575048957
Denmark,ohiArt,0.5243636363636368,-982.2941818181827,0.7133126799633376,0.013718043355494695,0.17173306640637673
Denmark,threatenedFish,0.19143937101963363,-299.5363210709005,0.29813669461749354,0.8072697444032881,0.6129179048445452
Denmark,imoRatedf,1.3018322082931537,-2538.653166184507,0.9979487157886735,0.04078329453683279,0.0835125750997491
Estonia,nitro,,,0.0,,
Estonia,phospho,,,0.0,,
Estonia,eutro,5.093609421164419,-10259.585422041593,0.5783909700716466,0.06231817867375718,2.3946669875710884
Estonia,wasteG,-2.8058823529411763,5686.319073083779,-0.8341683344305512,0.07901796888600797,1.0710468237641368
