Country,Year,nitro,eutro,wasteG,wasteR,mspVal,ohiBio,co2,phCopernicus,fmsyF,bBmsy,kbaMPA,natura2kEEZ,fseRiskkRatio,tacCatch,compositeIUU,fteCoastalPop,gvaHoursW,economies,gvaNights,oResearch,sadTac,ohiArt,threatenedFish,imoRatedf,seaMining
Belgium,2012,6.568832983927324,100.0,13.559322033898304,92.88577154308618,50.0,75.28,37.73412089634272,98.41681707317073,84.2788529173951,91.9822548433205,96.4998,100.0,1.13903657551887,78.4801297710838,99.99999999999997,8.301720436508582,73.22675632992105,96.87393423162912,45.33424040934907,0.31060756602649864,98.29274619115141,79.51,77.77777777777777,78.43137254901961,0.0
Belgium,2013,6.81653372008702,100.0,10.005467468562056,91.48296593186373,62.5,72.92,37.91420315001804,98.40572865853659,85.52255752922485,92.65239212972892,96.4998,100.0,1.3774462646782584,82.7368485623651,99.99999999999997,7.533416847418685,86.98893667396143,42.160717049496554,48.32828189906743,0.31060756602649864,97.98732264798335,79.39,80.27989821882952,77.94117647058823,0.0
Belgium,2014,7.137433561123767,100.0,6.451612903225806,98.49699398797596,75.0,72.42,40.132036105289814,98.39464024390244,86.7662621410546,93.32252941613736,96.84682,100.0,1.6943041784185537,86.9935673536464,99.99999999999997,7.298916489624313,76.24344584710099,11.754541407173516,46.80237363919247,0.29559252393437435,97.6818991048153,79.06,82.78201865988126,77.45098039215686,0.0
Belgium,2015,7.121212121212121,100.0,9.575012800819252,98.49699398797596,87.5,72.38,38.630784328563045,98.3835518292683,88.00996675288435,93.99266670254579,96.84682,100.0,3.3572864275887264,91.2502861449277,99.99999999999997,7.564067790517337,96.56341690120725,92.00311437908417,39.36858231291966,0.24836792894435233,97.37647556164725,78.83,85.28413910093299,76.9607843137255,0.0
Belgium,2016,7.121212121212121,100.0,12.698412698412698,99.6993987975952,100.0,72.45,39.45925936145257,98.37246341463415,89.25367136471411,94.66280398895421,96.84682,100.0,2.2721714227772405,95.507004936209,99.99999999999997,7.46930338812029,70.1538972681424,21.65887154620977,38.05884960844722,0.23315324086319142,97.0710520184792,78.43,87.78625954198473,76.47058823529412,0.0
Belgium,2017,7.121212121212121,100.0,12.503052503052503,99.19839679358718,100.0,72.06,39.656642367500524,98.36580731707318,90.57519580228151,94.19756769877716,96.84682,100.0,3.4119223663828344,95.79848617563147,99.99999999999997,7.564985416789321,92.79982559997666,97.4175920604982,43.69156456400176,0.2211828001038746,96.99516327662471,78.04,87.31643632856026,79.2156862745098,0.0
Belgium,2018,7.121212121212121,100.0,12.307692307692308,98.89779559118237,100.0,71.91,39.34410612006669,98.3591512195122,91.8967202398489,93.7323314086001,96.84682,100.0,2.298623306751937,96.08996741505393,99.99999999999997,9.121286275573324,64.55323203981132,28.478748142687127,54.83008994037996,0.2211828001038746,96.91927453477022,77.65,86.8466131151358,81.9607843137255,0.0
Belgium,2019,7.121212121212121,100.0,10.805008944543829,99.5991983967936,100.0,72.07,39.71680264733454,98.35249512195122,93.2182446774163,93.26709511842304,96.85317,100.0,2.298623306751937,96.3814486544764,99.99999999999997,9.054363581027511,61.31656740057109,86.0498945536843,55.022176851639045,0.2211828001038746,96.84338579291574,77.59,86.37678990171132,84.70588235294119,0.0
Belgium,2020,7.121212121212121,100.0,9.30232558139535,99.5991983967936,100.0,72.04,44.14051269919796,98.34583902439024,94.5397691149837,92.801858828246,96.85317,100.0,2.298623306751937,96.67292989389887,82.01553885258124,7.612006301514921,79.08410261862667,21.297335190497357,41.541087996819215,0.2211828001038746,96.76749705106127,77.51,85.90696668828684,87.45098039215686,0.0
Belgium,2021,7.121212121212121,100.0,9.30232558139535,99.5991983967936,100.0,71.94,41.83368133597215,98.33918292682927,95.8612935525511,92.33662253806895,96.85317,100.0,2.298623306751937,96.96441113332133,64.03107770516252,7.612006301514921,79.08410261862667,21.297335190497357,41.541087996819215,0.2211828001038746,96.69160830920679,76.33,85.43714347486238,90.19607843137256,0.0
Belgium,2022,7.121212121212121,100.0,9.30232558139535,99.5991983967936,100.0,71.84,41.83368133597215,98.33918292682927,97.1828179901185,91.87138624789189,96.85317,100.0,2.298623306751937,97.2558923727438,64.03107770516252,7.612006301514921,79.08410261862667,21.297335190497357,41.541087996819215,0.2211828001038746,96.6157195673523,78.66,84.9673202614379,90.19607843137256,0.0
Belgium,2023,7.121212121212121,100.0,9.30232558139535,99.5991983967936,100.0,71.84,41.83368133597215,98.33918292682927,97.1828179901185,91.87138624789189,96.85317,100.0,2.298623306751937,97.2558923727438,64.03107770516252,7.612006301514921,79.08410261862667,21.297335190497357,41.541087996819215,0.2211828001038746,96.6157195673523,78.66,84.9673202614379,90.19607843137256,0.0
Denmark,2012,11.270983213429256,100.0,42.10526315789473,99.5991983967936,25.0,74.24,47.37624021572946,98.36301219512194,95.4194992482581,96.0311509702546,86.6634,60.47361956180192,0.6989857696202851,94.3851261199102,51.24549739101663,15.210298568298047,35.856110792344175,4.504191753499883,81.88920488390775,44.913898161150414,84.6600927184033,70.5,83.51648351648352,80.3921568627451,100.0
Denmark,2013,10.792192881745121,5.88235294117647,43.274853801169584,98.09619238476954,25.0,73.92,45.58529099136296,98.35808841463414,93.02704422289838,95.97749953248069,86.6634,60.47361956180192,0.7873791250244037,94.83802921281655,51.24549739101663,17.165620441102412,37.11375552981191,59.459710715057945,100.0,44.913898161150414,82.91870534550597,72.49,85.1233961569157,81.86274509803921,100.0
Denmark,2014,11.779448621553886,100.0,44.44444444444444,98.39679358717436,25.0,73.45,50.31625850303103,98.35316463414634,90.63458919753865,95.9238480947068,86.69737,60.47361956180192,0.8006952341672684,95.29093230572289,51.24549739101663,17.899826131346444,36.340443035091944,64.58297050834494,100.0,45.15961835601395,81.17731797260865,73.07,86.7303087973479,83.33333333333334,100.0
Denmark,2015,11.75,1.4084507042253522,42.22222222222222,98.09619238476954,25.0,73.71,53.97220230076984,98.34824085365854,88.24213417217892,95.8701966569329,86.69737,60.47361956180192,0.7700584265594214,95.74383539862924,51.24549739101663,18.527219062760878,36.57428726137466,67.7432976767486,100.0,44.32588892385623,79.43593059971133,75.71,88.3372214377801,84.80392156862746,100.0
Denmark,2016,11.75,50.0,40.0,98.29659318637273,25.0,73.46,51.71847776670202,98.34331707317074,85.8496791468192,95.816545219159,86.74673,60.47361956180192,0.7155400175596519,96.1967384915356,51.24549739101663,16.64839354378984,31.941735322882288,22.266304050100366,93.26723653817342,45.76215725612566,77.69454322681399,76.03,89.94413407821229,86.27450980392157,100.0
Denmark,2017,11.75,100.0,42.22222222222222,98.49699398797596,35.714285714285715,73.22,55.08550467527012,98.32241951219513,86.29630681814605,95.80222662971819,86.74673,60.47361956180192,0.7277720171404091,96.20707605455117,51.24549739101663,18.351139468927297,35.61743075088345,73.77633231096597,85.37864325428308,45.76150394509231,78.75152385964557,76.55,89.30988070874126,87.45098039215686,100.0
Denmark,2018,11.75,50.0,44.44444444444444,98.09619238476954,46.42857142857143,72.71,55.30095402486938,98.30152195121951,86.7429344894729,95.7879080402774,86.74673,60.47361956180192,0.6820284969094068,96.21741361756673,51.24549739101663,17.86851855624464,33.957306717593426,15.114285542408082,89.07192673012281,45.76150394509231,79.80850449247716,77.24,88.67562733927024,88.62745098039215,100.0
Denmark,2019,11.75,100.0,38.888888888888886,98.29659318637273,57.14285714285714,72.45,61.37366028703565,98.2806243902439,87.18956216079974,95.7735894508366,86.74673,60.47361956180192,0.7720496877478951,96.2277511805823,51.24549739101663,17.572334595731053,33.03152694694356,86.99736930624252,87.44230345958309,45.76150394509231,80.86548512530874,77.79,88.04137396979921,89.80392156862746,100.0
Denmark,2020,11.75,33.333333333333336,33.33333333333333,73.24649298597194,67.85714285714286,72.52,71.56922626312591,98.25972682926829,87.63618983212659,95.75927086139579,86.74673,60.47361956180192,0.7720496877478951,96.23808874359787,58.50708239690222,16.145873240556792,34.658992619851404,61.90596504629444,100.0,45.76150394509231,81.92246575814033,78.41,87.40712060032818,90.98039215686275,100.0
Denmark,2021,11.75,1.3513513513513513,33.33333333333333,73.24649298597194,78.57142857142857,72.68,68.10370519977805,98.23882926829268,88.08281750345344,95.744952271955,86.74673,60.47361956180192,0.7720496877478951,96.24842630661344,65.76866740278781,16.145873240556792,34.658992619851404,61.90596504629444,100.0,45.76150394509231,82.97944639097192,76.4,86.77286723085716,92.15686274509804,100.0
Denmark,2022,11.75,0.4098360655737705,33.33333333333333,73.24649298597194,89.28571428571428,72.39,68.10370519977805,98.23882926829268,88.52944517478029,95.7306336825142,86.74673,60.47361956180192,0.7720496877478951,96.258763869629,65.76866740278781,16.145873240556792,34.658992619851404,61.90596504629444,100.0,45.76150394509231,84.0364270238035,74.63,86.13861386138613,92.15686274509804,100.0
