Country,Year,nitro,eutro,wasteG,wasteR,mspVal,ohiBio,co2,phCopernicus,fmsyF,bBmsy,kbaMPA,natura2kEEZ,fseRiskkRatio,tacCatch,compositeIUU,fteCoastalPop,gvaHoursW,economies,gvaNights,oResearch,sadTac,ohiArt,threatenedFish,imoRatedf,seaMining,14.1 Pollution,14.2 Ecosystem,14.3 Acidification,14.4 Sustainable Fishing,14.5 Protection,14.6 Incentives,14.7 Economics,14.a Science,14.b Small-scale Fishing,14.c Marine Agreements,scoreMean,scoreStd,scoreWeak,rankMean,rankStd,rankWeak
Belgium,2012,6.568832983927324,100.0,13.559322033898304,92.88577154308618,50.0,75.28,37.73412089634272,98.41681707317073,84.2788529173951,91.9822548433205,96.4998,100.0,1.13903657551887,78.4801297710838,99.99999999999997,8.301720436508582,73.22675632992105,96.87393423162912,45.33424040934907,0.31060756602649864,98.29274619115141,79.51,77.77777777777777,78.43137254901961,0.0,51.01166697367571,62.51146592212616,67.37136696398225,88.12213399185629,98.24834120213804,57.45516952791745,59.9685803832855,45.787606276407494,78.64341195053095,36.30881224656042,56.70544862208658,6.337561855928923,64.54285554384803,7.0,0.9506342783893384,10.0
Belgium,2016,7.121212121212121,100.0,12.698412698412698,99.6993987975952,100.0,72.45,39.45925936145257,98.37246341463415,89.25367136471411,94.66280398895421,96.84682,100.0,2.2721714227772405,95.507004936209,99.99999999999997,7.46930338812029,70.1538972681424,21.65887154620977,38.05884960844722,0.23315324086319142,97.0710520184792,78.43,87.78625954198473,76.47058823529412,0.0,52.13937274734899,86.11442831823643,68.26259187633651,91.95425984856986,98.42214721240633,63.46950382543353,32.249717811055994,45.15708242448662,83.09495531315157,35.40109194039641,53.629232403943206,7.900132935584389,65.62651513174222,9.0,1.1850199403376582,13.0
Belgium,2022,7.121212121212121,100.0,9.30232558139535,99.5991983967936,100.0,71.84,41.83368133597215,98.33918292682927,97.1828179901185,91.87138624789189,96.85317,100.0,2.298623306751937,97.2558923727438,64.03107770516252,7.612006301514921,79.08410261862667,21.297335190497357,41.541087996819215,0.2211828001038746,96.6157195673523,78.66,84.9673202614379,90.19607843137256,0.0,51.46256287571065,85.80403770060582,69.49806408027275,94.52337097486989,98.42532733421058,52.446685153098365,34.665839423181076,44.9360333522139,81.80758022808143,41.75513408354448,55.097851884311204,6.929747824204409,65.5324635205789,7.0,1.0394621736306613,14.0
Denmark,2012,11.270983213429256,100.0,42.10526315789473,99.5991983967936,25.0,74.24,47.37624021572946,98.36301219512194,95.4194992482581,96.0311509702546,86.6634,60.47361956180192,0.6989857696202851,94.3851261199102,51.24549739101663,15.210298568298047,35.856110792344175,4.504191753499883,81.88920488390775,44.913898161150414,84.6600927184033,70.5,83.51648351648352,80.3921568627451,100.0,59.07204914980856,48.9771758637506,72.41273578109487,95.7252762561245,73.4512568301584,46.591801188695904,35.70298901621615,64.47651805432159,76.98070258395401,90.14267603787502,57.70573741367539,7.1114326569248405,66.35331807619997,5.0,1.066714898538726,7.0
Denmark,2016,11.75,50.0,40.0,98.29659318637273,25.0,73.46,51.71847776670202,98.34331707317074,85.8496791468192,95.816545219159,86.74673,60.47361956180192,0.7155400175596519,96.1967384915356,51.24549739101663,16.64839354378984,31.941735322882288,22.266304050100366,93.26723653817342,45.76215725612566,77.69454322681399,76.03,89.94413407821229,86.27450980392157,100.0,42.63815649897031,48.60301115095614,74.6618037294773,90.81943389685884,73.49223749287736,47.162711193822496,45.490352195548375,61.51916342627549,82.95786634111597,93.11194496177328,58.74821288604338,5.058907770336707,66.04566808876756,3.0,0.758836165550506,12.0
Denmark,2022,11.75,0.4098360655737705,33.33333333333333,73.24649298597194,100.0,72.39,68.10370519977805,98.23882926829268,88.52944517478029,95.7306336825142,86.74673,60.47361956180192,0.7720496877478951,96.258763869629,65.76866740278781,16.145873240556792,34.658992619851404,61.90596504629444,100.0,45.76150394509231,84.0364270238035,74.63,86.13861386138613,92.15686274509804,100.0,20.369949812601735,86.0839047502246,83.03391979044284,92.12300152670376,73.49223749287736,51.973323058639714,61.57432278055342,64.61195953823525,80.36369074397473,96.07042563618589,51.776499426981,14.491331127916038,70.96967351304394,8.0,2.1736996691874055,4.0
Estonia,2012,33.57142857142858,3.7037037037037033,47.05882352941176,44.08817635270541,25.0,82.49,26.78374431729417,97.61347560975611,95.0382989815767,99.8394231507324,97.60969,61.763280385540405,7.391741706109323,98.40449987926199,70.9521432613696,73.51859583142256,13.004556727629177,52.767271311877046,58.62052919061992,44.913898161150414,92.7532087058172,89.39,80.95238095238095,76.47058823529412,100.0,26.8565977341114,52.92846368564202,61.11778370727083,97.43590364085203,79.4829392513213,57.24366207310088,51.107907148004664,68.4078902558901,85.16073702387237,88.15659580445072,53.90783586663496,10.448332849776309,66.78984803245163,10.0,1.5672499274664462,5.0
Estonia,2016,33.57142857142858,5.555555555555556,24.242424242424242,85.97194388777555,50.0,77.99,27.08547852405433,98.02676829268293,82.5734456631529,99.9333473316847,97.60982,61.763280385540405,100.0,99.4355070937772,70.9521432613696,62.53096258369099,13.749318269123789,48.12375885283536,58.49170483567201,45.76215725612566,86.25415349503291,90.36,89.47368421052632,78.43137254901961,100.0,30.313012050783392,63.840552910681275,61.47879201901487,91.21204375598982,79.48300292961882,90.02245454384911,47.888081314666735,65.6918794716765,89.91673289890015,89.15032427135716,58.37049087153045,10.488940088048803,70.8996876166538,4.0,1.5733410132073207,3.0
Estonia,2022,33.57142857142858,100.0,25.0,87.57515030060121,100.0,76.1,45.744259277149,97.60990243902438,77.56264629418051,95.6798085669637,97.62768,61.763280385540405,3.1998793045739085,96.4786885689339,70.9521432613696,41.38294981850449,18.786201464563607,54.68799880896064,75.93053481275523,45.76150394509231,90.9001479327944,99.24,90.2439024390244,82.3529411764706,100.0,62.37681468511823,87.96862225479461,71.19558850013985,86.57376262403368,79.49175131590998,54.86181575712856,53.14645723295628,67.9499928082516,94.73126898434427,91.13369981739606,70.03542777343694,4.519667898297285,74.94297739800732,1.0,0.6779501847445927,2.0
Finland,2012,19.789473684210527,3.7037037037037033,47.05882352941176,51.10220440881764,25.0,81.0,36.906728434632065,97.76550000000002,99.177365311527,99.84307242940889,59.78557,29.183475776488912,3.9294620282649246,98.94256795399569,53.277657858841025,17.422097283427583,26.2157109052778,35.661048360315405,65.41993503957804,6.11904191508165,99.4406555793436,84.67,81.81818181818181,76.47058823529412,100.0,23.3815678081549,52.2156337357922,66.61926766497074,99.51016320195048,44.2151396623163,50.156637159246614,40.5529435116096,50.212747024748424,83.24286960312465,88.15659580445072,46.64657418113321,9.1366504859478,59.82635651763646,13.0,1.3704975728921702,15.0
