Country,Year,plastic,14.1,14.2,14.3,14.4,14.5,14.6,livelihoods,14.7,14.a,14.b,14.c
Belgium,2012,51.53389810546273,51.01166697367571,62.51146592212616,67.37136696398225,88.12213399185629,98.24834120213804,57.45516952791745,39.24816120082405,59.9685803832855,45.787606276407494,78.64341195053095,36.30881224656042
Belgium,2013,48.819078472416,50.20701975829295,67.68993301434541,67.46142684781161,89.08033998559985,98.24834120213804,58.94524216599779,45.2489077580887,45.23895648540532,45.64612611707162,79.83482511554953,36.08188217001942
Belgium,2014,49.97662067176058,50.72406611405006,73.70887111867208,68.62841931255547,90.03842712963502,98.42214721240633,60.46746755012322,40.07392427587754,32.4564157138956,45.492253679246026,80.91886915406438,35.85495209347842
Belgium,2015,51.856828389157165,51.34436660102974,79.90419121154025,67.83003624164111,90.99639920953403,98.42214721240633,62.59919737952327,49.74945908927849,59.96528478757915,45.31138703769237,82.0507221143559,35.628022016937415
Belgium,2016,54.24779983012981,52.13937274734899,86.11442831823643,68.26259187633651,91.95425984856986,98.42214721240633,63.46950382543353,37.31769583195245,32.249717811055994,45.15708242448662,83.09495531315157,35.40109194039641
Belgium,2017,53.899109614181135,52.02357809695186,85.91599920319075,68.36361637358922,92.38460625393424,98.42214721240633,64.08174214298973,47.98864504896156,62.59107307041845,45.11177378813319,82.66520025616937,36.67190036902603
Belgium,2018,53.64460540398634,51.93903016894005,85.83966394540472,68.19534854796392,92.8140720252452,98.42214721240633,63.66831235686413,35.641877690939126,39.49891541368811,45.076625723965584,82.23544489639121,37.94270879765564
Belgium,2019,53.09858352712016,51.75754907085419,85.9210878962513,68.38895980132553,93.2426695780064,98.42532733421058,63.761547547516734,34.07810057337544,57.99028723152456,45.04147764830696,81.97161667316016,39.213517226285255
Belgium,2020,52.211849947765415,51.46256287571065,85.9058216956281,70.71252709764876,93.67041091363136,98.42532733421058,58.094490199073434,41.59137560593831,34.665839423181076,45.00632956114023,81.69769124865493,40.48432565491487
Belgium,2021,52.211849947765415,51.46256287571065,85.85493172687649,69.49806408027275,94.09730763731397,98.42532733421058,52.355337610550436,41.59137560593831,34.665839423181076,44.971181462448264,80.8707461917365,41.75513408354448
Belgium,2022,52.211849947765415,51.46256287571065,85.80403770060582,69.49806408027275,94.52337097486989,98.42532733421058,52.446685153098365,41.59137560593831,34.665839423181076,44.9360333522139,81.80758022808143,41.75513408354448
Belgium,2023,52.211849947765415,51.46256287571065,85.80403770060582,69.49806408027275,94.52337097486989,98.42532733421058,52.446685153098365,41.59137560593831,34.665839423181076,44.9360333522139,81.80758022808143,41.75513408354448
Denmark,2012,70.24940977190643,59.07204914980856,48.9771758637506,72.41273578109487,95.7252762561245,73.4512568301584,46.591801188695904,25.317555172094373,35.70298901621615,64.47651805432159,76.98070258395401,90.14267603787502
Denmark,2013,70.1378103533574,27.530606611722778,48.82368548023927,71.47488390600097,94.50112037235291,73.4512568301584,46.777052312457506,26.9514154834296,61.38327118023217,63.628898926115404,78.78135155630613,90.88606581087993
Denmark,2014,70.89644483081905,59.48364800668151,48.59821346251065,73.93861974214715,93.27546907919734,73.4679630553063,46.92438023832045,26.95977591528322,63.094700354255814,62.90765142962922,79.87092042413335,91.6287281903142
Denmark,2015,69.58499628686536,25.876920499059384,48.72294753852457,75.83160694464604,92.04826177108608,73.4679630553063,47.049633816594365,27.399824354076724,64.30388490401016,61.627956477765416,81.99928439000742,92.37068191448617
Denmark,2016,68.51146982956061,42.63815649897031,48.60301115095614,74.6618037294773,90.81943389685884,73.49223749287736,47.162711193822496,24.17236242619489,45.490352195548375,61.51916342627549,82.95786634111597,93.11194496177328
Denmark,2017,69.77861956403716,59.105809291729955,54.136653080507706,76.39455172313885,91.03685457677751,73.49223749287736,47.17211309263152,26.843374563197955,61.400931712366024,62.0349894142239,82.90537170900188,93.70446973452687
Denmark,2018,70.75098372251358,43.34952435935641,59.42297810854268,76.49565392665683,91.25421086419021,73.49223749287736,47.1521071125034,25.785662573646416,42.16179111967724,62.55088850395443,82.93809101747271,94.29657205707908
Denmark,2019,67.92462906728949,58.49748520960291,64.75110712396766,79.61163338473796,91.47150323523671,73.49223749287736,47.20086406553004,25.181682386144207,65.767662364264,63.06652977835591,82.8998324614367,94.88826018680872
Denmark,2020,52.90563548926508,32.184193544852626,70.18469850517873,84.80911149117541,91.68873216036089,73.49223749287736,49.594556026054015,25.22926613184857,61.57432278055342,63.58191860567678,82.89634902853979,95.47954212671574
Denmark,2021,52.90563548926508,20.80256503677483,75.61997567173181,83.03391979044284,91.90589810440525,73.49223749287736,51.97008315633961,25.22926613184857,61.57432278055342,64.09706018190374,81.56993590778845,96.07042563618589
Denmark,2022,52.90563548926508,20.369949812601735,80.79362349573998,83.03391979044284,92.12300152670376,73.49223749287736,51.973323058639714,25.22926613184857,61.57432278055342,64.61195953823525,80.36369074397473,96.07042563618589
Denmark,2023,52.90563548926508,20.369949812601735,86.0839047502246,83.03391979044284,92.12300152670376,73.49223749287736,51.973323058639714,25.22926613184857,61.57432278055342,64.61195953823525,80.36369074397473,96.07042563618589
Estonia,2012,45.57107898192107,26.8565977341114,52.92846368564202,61.11778370727083,97.43590364085203,79.4829392513213,57.24366207310088,42.076541153871396,51.107907148004664,68.4078902558901,85.16073702387237,88.15659580445072
Estonia,2013,54.764549432796606,28.953047218180682,55.440511482943,59.75096900132686,95.88427254517103,79.4829392513213,64.25212367044665,39.3797332478981,47.86955905679026,67.61963035961729,86.40494044486469,88.40515975870335
