Country,2012,2018,2021
United Kingdom,40,40,40
Sweden,42,47,48
Spain,44,45,45
Romania,30,32,33
Portugal,35,40,44
Poland,41,43,44
Netherlands,43,46,47
Malta,31,34,34
Lithuania,30,32,33
Latvia,41,41,42
Italy,37,38,38
Ireland,34,35,35
Greece,41,43,43
Germany,41,45,45
France,43,46,49
Finland,39,44,46
Estonia,39,40,42
Denmark,41,45,47
Cyprus,35,36,37
Croatia,37,38,38
Bulgaria,39,41,42
Belgium,40,43,46
