year,assess_year,code,category,scientific_name
2019,2018,LC,Least Concern,Neoscopelus microchir
2019,2018,LC,Least Concern,Lampadena urophaos
2019,2018,LC,Least Concern,Lampadena atlantica
2019,2018,LC,Least Concern,Diaphus fulgens
2019,2018,LC,Least Concern,Bolinichthys longipes
2019,2018,LC,Least Concern,Ceratoscopelus townsendi
2019,2018,LC,Least Concern,Diaphus aliciae
2019,2018,LC,Least Concern,Lampanyctus crypticus
2019,2018,LC,Least Concern,Lampanyctus gemmifer
2019,2018,LC,Least Concern,Lampanyctus idostigma
2019,2018,LC,Least Concern,Lampanyctus omostigma
2019,2018,LC,Least Concern,Lampanyctus parvicauda
2019,2018,LC,Least Concern,Lampanyctus steinbecki
2019,2018,LC,Least Concern,Triphoturus mexicanus
2019,2018,LC,Least Concern,Protomyctophum arcticum
2019,2018,LC,Least Concern,Parvilux boschmai
2019,2018,LC,Least Concern,Benthodesmus simonyi
2019,2018,LC,Least Concern,Brotulotaenia crassa
2019,2018,LC,Least Concern,Brotulotaenia nigra
2019,2018,LC,Least Concern,Dolichopteryx rostrata
2019,2018,LC,Least Concern,Paralepis brevirostris
2019,2018,LC,Least Concern,Paralepis coregonoides
2019,2018,LC,Least Concern,Schedophilus medusophagus
2019,2018,LC,Least Concern,Grammatostomias circularis
2019,2018,LC,Least Concern,Nezumia longebarbata
2019,2018,LC,Least Concern,Pseudoscopelus obtusifrons
2019,2018,LC,Least Concern,Trachonurus sulcatus
2019,2018,DD,Data Deficient,Bathymicrops multispinis
2019,2018,LC,Least Concern,Cetichthys indagator
2020,2020,LC,Least Concern,Argyrosomus regius
2015,2007,LC,Least Concern,Argyrosomus regius
2020,2020,NT,Near Threatened,Sciaena umbra
2015,2014,NT,Near Threatened,Sciaena umbra
2019,2018,LC,Least Concern,Diaphus pacificus
2019,2018,LC,Least Concern,Diaphus similis
2019,2018,LC,Least Concern,Diaphus wisneri
2019,2018,LC,Least Concern,Benthosema panamense
2019,2018,LC,Least Concern,Gonichthys tenuiculus
2019,2018,LC,Least Concern,Symbolophorus evermanni
2019,2018,LC,Least Concern,Symbolophorus reversus
2019,2018,LC,Least Concern,Myctophum aurolaternatum
2021,2020,EN,Endangered,Pseudotolithus senegalensis
2015,2009,EN,Endangered,Pseudotolithus senegalensis
2020,2018,LC,Least Concern,Umbrina canariensis
2015,2010,LC,Least Concern,Umbrina canariensis
2020,2019,VU,Vulnerable,Umbrina cirrosa
2020,2020,DD,Data Deficient,Umbrina ronchus
2015,2010,DD,Data Deficient,Umbrina ronchus
2019,2018,LC,Least Concern,Eustomias dubius
2019,2018,LC,Least Concern,Eustomias radicifilis
2019,2018,DD,Data Deficient,Monognathus boehlkei
2019,2018,LC,Least Concern,Poromitra nigriceps
2019,2018,LC,Least Concern,Ophidion barbatum
2019,2018,LC,Least Concern,Ophidion lozanoi
2019,2018,LC,Least Concern,Spectrunculus crassus
2019,2018,LC,Least Concern,Echiodon drummondii
2019,2018,DD,Data Deficient,Meteoria erythrops
2019,2018,LC,Least Concern,Sciadonus pedicellaris
2018,2012,LC,Least Concern,Myoxocephalus quadricornis
2013,2012,LC,Least Concern,Myoxocephalus quadricornis
2010,2010,LC,Least Concern,Myoxocephalus quadricornis
2008,2008,LC,Least Concern,Myoxocephalus quadricornis
1996,1996,LR/lc,Lower Risk/least concern,Myoxocephalus quadricornis
1994,1994,V,Vulnerable,Myoxocephalus quadricornis
1990,1990,V,Vulnerable,Myoxocephalus quadricornis
2019,2018,LC,Least Concern,Melamphaes falsidicus
2022,2019,CR,Critically Endangered,Acipenser stellatus
2010,2009,CR,Critically Endangered,Acipenser stellatus
1996,1996,EN,Endangered,Acipenser stellatus
2022,2019,CR,Critically Endangered,Acipenser gueldenstaedtii
2010,2009,CR,Critically Endangered,Acipenser gueldenstaedtii
1996,1996,EN,Endangered,Acipenser gueldenstaedtii
2022,2019,CR,Critically Endangered,Huso huso
2010,2009,CR,Critically Endangered,Huso huso
1996,1996,EN,Endangered,Huso huso
2019,2018,DD,Data Deficient,Meteoria longidorsalis
2019,2018,DD,Data Deficient,Nybelinella brevianalis
2019,2018,LC,Least Concern,Bassozetus nielseni
2019,2018,LC,Least Concern,Chiasmodon pluriradiatus
2019,2018,LC,Least Concern,Kali colubrina
2019,2018,LC,Least Concern,Pseudoscopelus astronesthidens
2019,2018,DD,Data Deficient,Saccopharynx hjorti
2019,2018,DD,Data Deficient,Saccopharynx paucovertebratis
2019,2018,LC,Least Concern,Saccopharynx thalassa
2019,2018,DD,Data Deficient,Saccopharynx trilobatus
2019,2018,LC,Least Concern,Melamphaes microps
2019,2018,LC,Least Concern,Scopeloberyx rubriventer
2019,2018,DD,Data Deficient,Astronesthes barbatus
2019,2018,LC,Least Concern,Bathophilus filifer
2019,2018,LC,Least Concern,Bathophilus longipes
2019,2018,LC,Least Concern,Eustomias cryptobulbus
2019,2018,LC,Least Concern,Stomias danae
2008,2008,LC,Least Concern,Chelon auratus
2018,2008,LC,Least Concern,Chelon saliens
2008,2008,LC,Least Concern,Chelon saliens
2019,2018,LC,Least Concern,Oneirodes luetkeni
2010,2009,DD,Data Deficient,Oneirodes luetkeni
2008,2008,LC,Least Concern,Chelon ramada
2022,2020,CR,Critically Endangered,Acipenser sturio
2010,2009,CR,Critically Endangered,Acipenser sturio
1996,1996,CR,Critically Endangered,Acipenser sturio
1994,1994,E,Endangered,Acipenser sturio
1990,1990,E,Endangered,Acipenser sturio
1988,1988,E,Endangered,Acipenser sturio
2020,2019,DD,Data Deficient,Paraphyonus merretti
2020,2019,LC,Least Concern,Encheliophis vermicularis
2020,2019,LC,Least Concern,Argyropelecus lychnus
2020,2019,LC,Least Concern,Astronesthes cyaneus
2020,2019,LC,Least Concern,Astronesthes gibbsi
2020,2019,LC,Least Concern,Borostomias panamensis
2020,2019,LC,Least Concern,Chauliodus barbatus
2020,2019,LC,Least Concern,Cyclothone signata
2020,2019,LC,Least Concern,Danaphos oculatus
2020,2019,LC,Least Concern,Diplophos proximus
2020,2019,LC,Least Concern,Eustomias bifilis
2020,2019,LC,Least Concern,Eustomias perplexus
2020,2019,LC,Least Concern,Idiacanthus antrostomus
2020,2019,LC,Least Concern,Melamphaes acanthomus
2020,2019,LC,Least Concern,Melamphaes janae
2020,2019,LC,Least Concern,Melamphaes laeviceps
2020,2019,LC,Least Concern,Melamphaes macrocephalus
2019,2018,DD,Data Deficient,Gaidropsarus mauli
2019,2018,LC,Least Concern,Gigantactis microdontis
2019,2018,LC,Least Concern,Borophryne apogon
2019,2018,LC,Least Concern,Linophryne coronata
2019,2018,LC,Least Concern,Linophryne densiramus
2019,2018,DD,Data Deficient,Melanocetus eustalus
2019,2018,LC,Least Concern,Melanocetus niger
2019,2018,LC,Least Concern,Melanocetus polyactis
2019,2018,LC,Least Concern,Chaenophryne melanorhabdus
2019,2018,LC,Least Concern,Danaphryne nigrifilis
2019,2018,LC,Least Concern,Dolopichthys karsteni
2019,2018,LC,Least Concern,Leptochilichthys pinguis
2020,2019,LC,Least Concern,Saccopharynx lavenbergi
2020,2019,LC,Least Concern,Poromitra frontosa
2020,2019,LC,Least Concern,Poromitra oscitans
2020,2019,LC,Least Concern,Scopeloberyx maxillaris
2020,2019,LC,Least Concern,Scopelogadus bispinosus
2020,2019,LC,Least Concern,Sigmops ebelingi
2020,2019,LC,Least Concern,Vinciguerria lucetia
2020,2019,LC,Least Concern,Photonectes albipennis
2020,2019,LC,Least Concern,Stomias atriventer
2020,2019,LC,Least Concern,Stomias colubrinus
2020,2019,LC,Least Concern,Scopelarchus stephensi
2020,2019,LC,Least Concern,Pseudoscopelus lavenbergi
2018,2018,LC,Least Concern,Sprattus sprattus
2018,2018,DD,Data Deficient,Engraulis albidus
2014,2013,DD,Data Deficient,Engraulis albidus
2021,2020,LC,Least Concern,Scophthalmus rhombus
2021,2020,LC,Least Concern,Scophthalmus maximus
2021,2020,LC,Least Concern,Lepidorhombus whiffiagonis
2021,2020,LC,Least Concern,Lepidorhombus boscii
2022,2021,NT,Near Threatened,Hippoglossus hippoglossus
1996,1996,EN,Endangered,Hippoglossus hippoglossus
2022,2021,NT,Near Threatened,Reinhardtius hippoglossoides
2020,2018,CR,Critically Endangered,Anguilla anguilla
2014,2013,CR,Critically Endangered,Anguilla anguilla
2010,2008,CR,Critically Endangered,Anguilla anguilla
2008,2008,CR,Critically Endangered,Anguilla anguilla
2020,2019,LC,Least Concern,Arnoglossus rueppelii
2010,2009,LC,Least Concern,Arnoglossus rueppelii
2020,2019,LC,Least Concern,Bothus mancus
2010,2009,LC,Least Concern,Bothus mancus
2022,2020,LC,Least Concern,Pomatoschistus marmoratus
2022,2020,LC,Least Concern,Pomatoschistus minutus
2014,2014,LC,Least Concern,Pomatoschistus minutus
2020,2019,EN,Endangered,Centrophorus lesliei
2022,2021,VU,Vulnerable,Glyptocephalus cynoglossus
2022,2021,EN,Endangered,Hippoglossoides platessoides
2021,2021,LC,Least Concern,Microstomus kitt
2021,2020,LC,Least Concern,Zeugopterus punctatus
2021,2020,LC,Least Concern,Zeugopterus regius
2022,2021,LC,Least Concern,Kajikia audax
2011,2011,NT,Near Threatened,Kajikia audax
2008,2008,LC,Least Concern,Atherina boyeri
1996,1996,DD,Data Deficient,Atherina boyeri
2019,2018,VU,Vulnerable,Megalops atlanticus
2012,2011,VU,Vulnerable,Megalops atlanticus
2020,2014,LC,Least Concern,Scorpaena porcus
2015,2014,LC,Least Concern,Scorpaena porcus
2021,2020,DD,Data Deficient,Squalus blainville
2019,2018,EN,Endangered,Cetorhinus maximus
2009,2005,VU,Vulnerable,Cetorhinus maximus
2000,2000,VU,Vulnerable,Cetorhinus maximus
1996,1996,VU,Vulnerable,Cetorhinus maximus
1994,1994,K,Insufficiently Known,Cetorhinus maximus
1990,1990,K,Insufficiently Known,Cetorhinus maximus
2021,2021,CR,Critically Endangered,Dipturus batis
2021,2017,VU,Vulnerable,Carcharhinus falciformis
2017,2017,VU,Vulnerable,Carcharhinus falciformis
2016,2015,NT,Near Threatened,Carcharhinus falciformis
2009,2007,NT,Near Threatened,Carcharhinus falciformis
2000,2000,LR/lc,Lower Risk/least concern,Carcharhinus falciformis
2021,2019,NT,Near Threatened,Centroscymnus coelolepis
2020,2019,NT,Near Threatened,Centroscymnus coelolepis
2003,2003,NT,Near Threatened,Centroscymnus coelolepis
2022,2018,VU,Vulnerable,Carcharodon carcharias
2019,2018,VU,Vulnerable,Carcharodon carcharias
2009,2005,VU,Vulnerable,Carcharodon carcharias
2000,2000,VU,Vulnerable,Carcharodon carcharias
1996,1996,VU,Vulnerable,Carcharodon carcharias
1994,1994,K,Insufficiently Known,Carcharodon carcharias
1990,1990,K,Insufficiently Known,Carcharodon carcharias
2022,2018,VU,Vulnerable,Alopias vulpinus
2019,2018,VU,Vulnerable,Alopias vulpinus
2009,2007,VU,Vulnerable,Alopias vulpinus
2002,2002,DD,Data Deficient,Alopias vulpinus
2000,2000,DD,Data Deficient,Alopias vulpinus
2022,2018,EN,Endangered,Mobula thurstoni
2019,2018,EN,Endangered,Mobula thurstoni
2016,2016,NT,Near Threatened,Mobula thurstoni
2006,2006,NT,Near Threatened,Mobula thurstoni
2022,2018,EN,Endangered,Mobula tarapacana
2019,2018,EN,Endangered,Mobula tarapacana
2016,2016,VU,Vulnerable,Mobula tarapacana
2006,2006,DD,Data Deficient,Mobula tarapacana
2020,2018,EN,Endangered,Mobula mobular
2019,2018,EN,Endangered,Mobula mobular
2022,2019,EN,Endangered,Mobula birostris
2020,2019,EN,Endangered,Mobula birostris
2011,2010,VU,Vulnerable,Mobula birostris
