Year,enName,speciesAcronym_x,FishStock,StockKey,SpeciesName,ICES Areas (splited with character '~'),StockSize,StockSizeDescription,StockSizeUnits,FishingPressure,FishingPressureDescription,FishingPressureUnits,Flim,Fpa,Blim,Bpa,FMSY,MSYBtrigger,CatchesLadingsUnits,Landings,OfficialLandings,Catches,Report,AssessmentKey_x,AssessmentYear_x,fullArea,area,Area,Species_x,Belgium,China,Denmark,Estonia,Faroe Islands,Finland,France,Germany,Greenland,Guernsey,Iceland,Ireland,Isle of Man,Japan,Jersey,"Korea, Republic of",Latvia,Lithuania,Netherlands,Norway,Poland,Portugal,Russian Federation,Spain,Sweden,"Taiwan, Province of China",United Kingdom of GB,_mergeCatch,sumOffCatches,diffCatches,TAC ID,FishStockTAC,_mergeDictTAC,Reference,Species_y,TAC Zone,Level,TAC for comparison,Amendment/Original,speciesAcronym_y,_mergeTAC,year,StockCode,AdviceValue,AdviceType,AdviceApplicableFrom,AdviceApplicableUntil,AdviceValueUnit,AssessmentYear_y,AssessmentKey_y,AdviceKey,AdviceDOI,_mergeSADoff
2020.0,Haddock,had,had.27.6b,169114,Melanogrammus aeglefinus,27.6.b.1 ~ 27.6.b.2,356.0,B_index,Kilograms per hour,,F,,,,,,,,tonnes,5510.0,,5640.0,https://doi.org/10.17895/ices.advice.19447952.v1,17598,2022,1,27.6.b.2,27.6.b.2,had,,,,,,,2.446,,,,,664.1364,,,,,,,,1.99,,,,0.09,,,0.0,both,668.6623999999999,-0.8814428368794326,(HAD/6B1214),had.27.6b,both,(HAD/6B1214) - 2020 - TAC - Original,Haddock,"Union and international waters of 6b, 12 and 14",TAC,10472,Original,had,both,2020.0,had.27.6b,10472,Catches,2020.0,2020.0,t,2019.0,13108.0,1025.0,https://doi.org/10.17895/ices.advice.5589,both
2020.0,Megrim,lez,lez.27.6b,169139,Lepidorhombus,27.6.b.1 ~ 27.6.b.2,1.30274915723461,B/Bmsy,,0.760206876098633,F/Fmsy,,1.7,,0.3,,1.0,0.5,tonnes,861.0,,,https://doi.org/10.17895/ices.advice.19772389.v1,17605,2022,0,27.6.b.1,27.6.b.1,lez,,,,,,,0.214,,,,,47.8611,,,,,,,,,,,,3.9,,,0.0,both,51.9751,,(LEZ/2AC4-C),lez.27.4a6a + lez.27.6b,both,(LEZ/2AC4-C) - 2020 - TAC - Original,Megrims,Union waters of 2a and 4,TAC,2922,Original,lez,both,2020.0,lez.27.6b,473,Catches,2020.0,2020.0,t,2019.0,13168.0,2941.0,https://doi.org/10.17895/ices.advice.4787,both
2020.0,Megrim,lez,lez.27.6b,169139,Lepidorhombus,27.6.b.1 ~ 27.6.b.2,1.30274915723461,B/Bmsy,,0.760206876098633,F/Fmsy,,1.7,,0.3,,1.0,0.5,tonnes,861.0,,,https://doi.org/10.17895/ices.advice.19772389.v1,17605,2022,0,27.6.b.1,27.6.b.1,lez,,,,,,,0.214,,,,,47.8611,,,,,,,,,,,,3.9,,,0.0,both,51.9751,,(LEZ/56-14),lez.27.4a6a + lez.27.6b,both,(LEZ/56-14) - 2020 - TAC - Original,Megrims,Union and international waters of 5b; 6; international waters of 12 and 14,TAC,5901,Original,lez,both,2020.0,lez.27.6b,473,Catches,2020.0,2020.0,t,2019.0,13168.0,2941.0,https://doi.org/10.17895/ices.advice.4787,both
2020.0,Megrim,lez,lez.27.6b,169139,Lepidorhombus,27.6.b.1 ~ 27.6.b.2,1.30274915723461,B/Bmsy,,0.760206876098633,F/Fmsy,,1.7,,0.3,,1.0,0.5,tonnes,861.0,,,https://doi.org/10.17895/ices.advice.19772389.v1,17605,2022,1,27.6.b.2,27.6.b.2,lez,,,,,,,41.021,,,,,418.8341,,,,,,,,,,,,107.72,,,0.0,both,567.5751,,(LEZ/2AC4-C),lez.27.4a6a + lez.27.6b,both,(LEZ/2AC4-C) - 2020 - TAC - Original,Megrims,Union waters of 2a and 4,TAC,2922,Original,lez,both,2020.0,lez.27.6b,473,Catches,2020.0,2020.0,t,2019.0,13168.0,2941.0,https://doi.org/10.17895/ices.advice.4787,both
2020.0,Megrim,lez,lez.27.6b,169139,Lepidorhombus,27.6.b.1 ~ 27.6.b.2,1.30274915723461,B/Bmsy,,0.760206876098633,F/Fmsy,,1.7,,0.3,,1.0,0.5,tonnes,861.0,,,https://doi.org/10.17895/ices.advice.19772389.v1,17605,2022,1,27.6.b.2,27.6.b.2,lez,,,,,,,41.021,,,,,418.8341,,,,,,,,,,,,107.72,,,0.0,both,567.5751,,(LEZ/56-14),lez.27.4a6a + lez.27.6b,both,(LEZ/56-14) - 2020 - TAC - Original,Megrims,Union and international waters of 5b; 6; international waters of 12 and 14,TAC,5901,Original,lez,both,2020.0,lez.27.6b,473,Catches,2020.0,2020.0,t,2019.0,13168.0,2941.0,https://doi.org/10.17895/ices.advice.4787,both
2020.0,Norway pout,nop,nop.27.3a4,169174,Trisopterus esmarkii,27.3.a ~ 27.4.a ~ 27.4.b ~ 27.4.c,200033.0,SSB,tonnes,0.262,F,,,,42573.0,69736.0,,,tonnes,129333.0,,,https://doi.org/10.17895/ices.advice.19772446.v1,17613,2022,0,27.3.a,27.3.a,nop,,,5585.0,,,,,0.0,,,,,,,,,,,,16.47,,,,,12.6765,,,both,5614.1465,,(NOP/04-N.),nop.27.3a4,both,(NOP/04-N.) - 2020 - TAC - Original,Norway pout,Norwegian waters of 4,TAC,tbd,Original,nop,both,2020.0,nop.27.3a4,254038,Catches,2020.0,2021.0,t,2020.0,13954.0,1429.0,https://doi.org/10.17895/ices.advice.5885,both
2020.0,Norway pout,nop,nop.27.3a4,169174,Trisopterus esmarkii,27.3.a ~ 27.4.a ~ 27.4.b ~ 27.4.c,200033.0,SSB,tonnes,0.262,F,,,,42573.0,69736.0,,,tonnes,129333.0,,,https://doi.org/10.17895/ices.advice.19772446.v1,17613,2022,0,27.3.a,27.3.a,nop,,,5585.0,,,,,0.0,,,,,,,,,,,,16.47,,,,,12.6765,,,both,5614.1465,,(NOP/2A3A4.),nop.27.3a4,both,(NOP/2A3A4.) - 2020 - TAC - Original,Norway pout,3a; Union waters of 2a and 4,TAC,167105,Original,nop,both,2020.0,nop.27.3a4,254038,Catches,2020.0,2021.0,t,2020.0,13954.0,1429.0,https://doi.org/10.17895/ices.advice.5885,both
2020.0,Norway pout,nop,nop.27.3a4,169174,Trisopterus esmarkii,27.3.a ~ 27.4.a ~ 27.4.b ~ 27.4.c,200033.0,SSB,tonnes,0.262,F,,,,42573.0,69736.0,,,tonnes,129333.0,,,https://doi.org/10.17895/ices.advice.19772446.v1,17613,2022,1,27.4.a,27.4.a,nop,,,59515.0,,1554.202,,0.035,3.701,,,,0.0,,,,,,23.092,87.627,63725.53,,,,,35.4263,,82.4632,both,125027.07650000001,,(NOP/04-N.),nop.27.3a4,both,(NOP/04-N.) - 2020 - TAC - Original,Norway pout,Norwegian waters of 4,TAC,tbd,Original,nop,both,2020.0,nop.27.3a4,254038,Catches,2020.0,2021.0,t,2020.0,13954.0,1429.0,https://doi.org/10.17895/ices.advice.5885,both
2020.0,Norway pout,nop,nop.27.3a4,169174,Trisopterus esmarkii,27.3.a ~ 27.4.a ~ 27.4.b ~ 27.4.c,200033.0,SSB,tonnes,0.262,F,,,,42573.0,69736.0,,,tonnes,129333.0,,,https://doi.org/10.17895/ices.advice.19772446.v1,17613,2022,1,27.4.a,27.4.a,nop,,,59515.0,,1554.202,,0.035,3.701,,,,0.0,,,,,,23.092,87.627,63725.53,,,,,35.4263,,82.4632,both,125027.07650000001,,(NOP/2A3A4.),nop.27.3a4,both,(NOP/2A3A4.) - 2020 - TAC - Original,Norway pout,3a; Union waters of 2a and 4,TAC,167105,Original,nop,both,2020.0,nop.27.3a4,254038,Catches,2020.0,2021.0,t,2020.0,13954.0,1429.0,https://doi.org/10.17895/ices.advice.5885,both
2020.0,Norway pout,nop,nop.27.3a4,169174,Trisopterus esmarkii,27.3.a ~ 27.4.a ~ 27.4.b ~ 27.4.c,200033.0,SSB,tonnes,0.262,F,,,,42573.0,69736.0,,,tonnes,129333.0,,,https://doi.org/10.17895/ices.advice.19772446.v1,17613,2022,2,27.4.b,27.4.b,nop,,,620.0,,,,,0.0,,,,,,,,,,,0.405,35.41,,,,,0.0,,3.433,both,659.2479999999999,,(NOP/04-N.),nop.27.3a4,both,(NOP/04-N.) - 2020 - TAC - Original,Norway pout,Norwegian waters of 4,TAC,tbd,Original,nop,both,2020.0,nop.27.3a4,254038,Catches,2020.0,2021.0,t,2020.0,13954.0,1429.0,https://doi.org/10.17895/ices.advice.5885,both
