,Country,Year,nitro,wasteG,wasteR,scoreESD,co2pc,mpa,ohiBio,fseScore,ohiLive,ohiTour,oResearch,ohiArt,threatened,imoRatedf,plastic,14.1,14.3,14.5,14.7,14.b
4,Bulgaria,2012,76.9,92.44,44.1,100.0,69.89,27.01,76.12,,71.31,23.3,0.1,55.03,,76.47058823529412,67.83137640230416,72.3514719708151,84.81078135246115,50.952382163803456,46.66231855027965,
5,Bulgaria,2013,80.66,92.44,41.4,100.0,76.09,27.01,73.57,,71.31,26.47,0.1,54.72,,76.47058823529412,66.41904770088964,73.50499013893246,87.96354924245178,49.726959033274696,48.35331161994863,
6,Bulgaria,2014,75.38,81.51,64.1,100.0,72.83,27.01,70.89,,71.31,27.17,0.07,54.82,,76.47058823529412,72.75281669424356,74.06524342890512,86.30771074294947,48.437739318367285,48.72470357823095,
7,Bulgaria,2015,75.2,81.51,60.8,100.0,69.02,27.01,69.82,,71.31,23.73,0.04,55.11,,76.47058823529412,71.0793472642819,73.13677125046226,84.36712109489876,47.9226158244304,46.89262614201126,
8,Bulgaria,2016,55.91,78.99,52.6,100.0,71.9,27.01,67.76,,71.31,26.04,0.05,55.4,,76.47058823529412,65.66166030466167,60.76625086685504,85.83457460372584,46.93021381059891,48.12482664898319,
9,Bulgaria,2017,58.28,78.99,65.4,97.49861457303884,69.04,27.01,69.71,,71.31,26.84,0.06,55.4,,76.47058823529412,72.1629686737496,65.18446554836939,83.14704694200425,47.86964594610436,48.54970413882218,
10,Bulgaria,2018,60.07,73.11,59.3,99.08613969728866,73.34,27.01,69.96,,71.31,27.91,0.06,55.53,,80.3921568627451,66.1689166033582,63.11208868519065,86.11655046632333,47.99002843209296,49.116586066776264,
175,Bulgaria,2019,60.07,73.11,50.6,100.0,74.6,27.03,67.4,,71.31,28.42,0.06,55.37,,80.3921568627451,61.75194989161361,60.9103943735231,87.20724831974722,46.767255200931764,49.38624304824202,
130,Bulgaria,2020,60.07,59.66,50.6,100.0,80.63,27.03,66.46,,71.31,19.92,0.06,55.81,,80.3921568627451,55.11136468277639,57.58534364586836,90.26295705401384,46.314024610722434,44.840490835170485,
279,Bulgaria,2021,60.07,59.66,50.6,100.0,73.62,27.03,66.32,,71.31,19.82,0.06,55.64,,82.35294117647058,55.11136468277639,57.58534364586836,86.70935100341094,46.246505399286754,44.7862544135576,
11,Croatia,2012,49.1,96.64,45.4,100.0,87.8,28.47,60.77,,78.76,69.36,7.85,64.91,,72.54901960784314,70.54578128152805,59.72619520880154,93.88017045282633,44.32001805799013,74.04507498483129,
12,Croatia,2013,68.08,96.64,45.3,100.0,88.97,28.47,57.66,,78.56,78.32,7.85,64.08,,72.54901960784314,70.49352442273356,69.28571124655514,94.46889429969178,42.812004983606386,78.43999082100562,
13,Croatia,2014,66.11,94.12,38.0,100.0,90.33,28.47,56.56,,78.56,83.83,5.77375,63.72,,72.54901960784314,65.44188431151052,65.775857325963,95.15271149957677,42.2779613601046,81.19072349591144,
14,Croatia,2015,61.01,94.12,46.3,100.0,89.86,28.47,55.91,,78.56,85.05,6.13375,63.48,,72.54901960784314,69.79342978047042,65.38695708514214,94.91645378291767,41.96221978238141,81.79856202235041,
15,Croatia,2016,71.89,90.76,41.1,100.0,89.0,28.47,54.34,,78.56,88.01,15.43090909090909,63.38,,72.54901960784314,65.44901290696734,68.66195148656226,94.48398439318277,41.199043528517386,83.27158864342931,
